ticker,crsp_fundno,caldt,dnav,dret
SSO,25653,20171027,101.57,0.016106
SSO,25653,20170130,78.83,-0.012155
SSO,25653,20160715,70.4,-0.001985
SSO,25653,20170125,80.09,0.016371
SSO,25653,20160810,71.43,-0.005153
SSO,25653,20160412,63.97,0.019442
SSO,25653,20161216,77.32,-0.003608
SSO,25653,20160421,65.82,-0.010523
SSO,25653,20161110,71.09,0.004096
SSO,25653,20161122,73.5,0.004236
SSO,25653,20160927,70.46,0.012793
SSO,25653,20161025,69.43,-0.007292
SSO,25653,20161012,69.17,0.002319
SSO,25653,20160217,55.9,0.03289
SSO,25653,20170119,77.68,-0.007284
SSO,25653,20170214,82.99,0.008384
SSO,25653,20160105,61.38,0.003925
SSO,25653,20160606,67.17,0.009923
SSO,25653,20160608,67.8,0.006831
SSO,25653,20160506,63.73,0.006793
SSO,25653,20160610,66.33,-0.018497
SSO,25653,20160509,63.82,0.001412
SSO,25653,20160511,64.22,-0.018193
SSO,25653,20151119,65.57,-0.002131
SSO,25653,20151106,66.64,-0.0006
SSO,25653,20160331,63.82,-0.004213
SSO,25653,20160311,61.64,0.033188
SSO,25653,20160205,53.18,-0.036943
SSO,25653,20150930,55.69,0.038218
SSO,25653,20160201,56.56,-0.00106
SSO,25653,20160126,54.54,0.028281
SSO,25653,20151113,61.93,-0.022415
SSO,25653,20150827,59.8,0.048939
SSO,25653,20151109,65.35,-0.019358
SSO,25653,20151120,66.09,0.00793
SSO,25653,20151117,63.64,-0.002351
SSO,25653,20151022,63.66,0.033442
SSO,25653,20151001,55.92,0.00413
SSO,25653,20151013,60.68,-0.013333
SSO,25653,20150626,67.02,-0.000447
SSO,25653,20150911,58.16,0.009547
SSO,25653,20150901,55.38,-0.059283
SSO,25653,20140811,113.21,0.005775
SSO,25653,20140715,117.45,-0.003817
SSO,25653,20150810,67.24,0.025469
SSO,25653,20150723,67.07,-0.011204
SSO,25653,20150721,68.14,-0.00844
SSO,25653,20150625,67.05,-0.00593
SSO,25653,20140625,115.67,0.009602
SSO,25653,20140822,119.48,-0.003586
SSO,25653,20140801,111.73,-0.005784
SSO,25653,20150527,68.4,0.018615
SSO,25653,20140703,118.82,0.010804
SSO,25653,20150528,68.25,-0.002193
SSO,25653,20140912,119.33,-0.011923
SSO,25653,20150421,133.11,-0.002921
SSO,25653,20150413,132.54,-0.009121
SSO,25653,20150416,134.14,-0.001414
SSO,25653,20141013,106.26,-0.033033
SSO,25653,20150422,134.46,0.010142
SSO,25653,20140415,102,0.013514
SSO,25653,20140327,102.67,-0.003688
SSO,25653,20150330,131.65,0.024514
SSO,25653,20140109,101.32,0.000889
SSO,25653,20140123,100.24,-0.017448
SSO,25653,20150109,126.45,-0.016795
SSO,25653,20140321,104.61,-0.00627
SSO,25653,20150203,126.91,0.028944
SSO,25653,20140618,115.45,0.015213
SSO,25653,20150211,129.44,0.000696
SSO,25653,20150128,121.13,-0.026834
SSO,25653,20140220,101.53,0.012263
SSO,25653,20140224,102.41,0.011957
SSO,25653,20150217,133.53,0.003381
SSO,25653,20150120,123.68,0.003245
SSO,25653,20150127,124.47,-0.026742
SSO,25653,20150113,123.78,-0.005064
SSO,25653,20150223,134.78,-0.000741
SSO,25653,20150116,123.28,0.02682
SSO,25653,20140228,103.81,0.005326
SSO,25653,20140306,105.82,0.004175
SSO,25653,20140210,97.04,0.003101
SSO,25653,20140203,90.84,-0.045598
SSO,25653,20140317,103.8,0.018946
SSO,25653,20140131,95.18,-0.012758
SSO,25653,20141222,130.7,0.008112
SSO,25653,20140326,103.05,-0.014155
SSO,25653,20140312,104.86,0.000955
SSO,25653,20141215,120.01,-0.012994
SSO,25653,20141211,125.67,0.009722
SSO,25653,20141219,129.89,0.008854
SSO,25653,20150226,135,-0.00266
SSO,25653,20140424,105.98,0.003503
SSO,25653,20140425,104.26,-0.016229
SSO,25653,20150126,127.89,0.005029
SSO,25653,20131231,102.42,0.00817
SSO,25653,20141027,116.24,-0.003002
SSO,25653,20150420,133.5,0.018384
SSO,25653,20140110,101.8,0.004737
SSO,25653,20140414,100.64,0.01636
SSO,25653,20141002,114.6,0.000175
SSO,25653,20140501,106.54,-0.000375
SSO,25653,20150326,127.86,-0.004748
SSO,25653,20141117,126.14,0.001429
SSO,25653,20141118,127.51,0.010861
SSO,25653,20150402,129.26,0.006933
SSO,25653,20141106,124.73,0.008082
SSO,25653,20140626,115.45,-0.001902
SSO,25653,20141030,120.18,0.012639
SSO,25653,20141017,107.59,0.025546
SSO,25653,20140106,100,-0.005272
SSO,25653,20140710,116.41,-0.008264
SSO,25653,20141020,109.56,0.01831
SSO,25653,20141120,127.62,0.003933
SSO,25653,20140728,118.07,0.000508
SSO,25653,20141010,109.89,-0.022592
SSO,25653,20140428,104.94,0.006522
SSO,25653,20141008,117.25,0.03532
SSO,25653,20150713,66.9,0.022154
SSO,25653,20140829,121.34,0.006553
SSO,25653,20150722,67.83,-0.004549
SSO,25653,20140930,117.7,-0.005408
SSO,25653,20150807,65.57,-0.00546
SSO,25653,20150812,66.14,0.002273
SSO,25653,20150507,132.07,0.008014
SSO,25653,20140617,113.72,0.004594
SSO,25653,20150813,65.98,-0.002419
SSO,25653,20150910,57.61,0.010702
SSO,25653,20140624,114.66,-0.012573
SSO,25653,20150925,56.38,-0.000886
SSO,25653,20140528,109.83,-0.001999
SSO,25653,20150605,66.49,-0.003148
SSO,25653,20140612,112.33,-0.013784
SSO,25653,20160408,63.1,0.005578
SSO,25653,20150608,65.65,-0.012633
SSO,25653,20151214,61.93,0.009783
SSO,25653,20140729,117.01,-0.008978
SSO,25653,20151222,62.75,0.017681
SSO,25653,20140804,113.33,0.01432
SSO,25653,20140812,112.86,-0.003092
SSO,25653,20160304,60.24,0.006516
SSO,25653,20150817,67.21,0.010829
SSO,25653,20150909,57,-0.027636
SSO,25653,20140619,115.76,0.002685
SSO,25653,20150917,59.91,-0.004817
SSO,25653,20160414,65.29,0.00046
SSO,25653,20151127,66.18,0.001665
SSO,25653,20160426,65.83,0.003659
SSO,25653,20151012,61.5,0.002282
SSO,25653,20160504,63.31,-0.011399
SSO,25653,20151021,61.6,-0.011712
SSO,25653,20160519,62.76,-0.007433
SSO,25653,20151009,61.36,0.001469
SSO,25653,20160531,66.35,-0.001955
SSO,25653,20151029,65.95,-0.000758
SSO,25653,20151110,65.59,0.003673
SSO,25653,20151118,65.71,0.032527
SSO,25653,20160129,56.62,0.04949
SSO,25653,20151224,64.1,-0.00342
SSO,25653,20160119,53.33,0.001314
SSO,25653,20160226,57.16,-0.003834
SSO,25653,20160212,52.36,0.039301
SSO,25653,20160303,59.85,0.007237
SSO,25653,20160323,62.38,-0.012899
SSO,25653,20161108,69.26,0.008445
SSO,25653,20160407,62.75,-0.023954
SSO,25653,20160525,65.9,0.013846
SSO,25653,20160513,63.12,-0.016976
SSO,25653,20160617,64.81,-0.006743
SSO,25653,20160603,66.51,-0.00583
SSO,25653,20151228,63.81,-0.004524
SSO,25653,20161201,72.78,-0.007094
SSO,25653,20160202,54.45,-0.037306
SSO,25653,20160223,55.57,-0.025088
SSO,25653,20161017,68.34,-0.006253
SSO,25653,20161116,71.76,-0.002918
SSO,25653,20161003,70.56,-0.006197
SSO,25653,20161011,69.01,-0.025007
SSO,25653,20161028,68.35,-0.006107
SSO,25653,20161005,70.51,0.00916
SSO,25653,20160930,71,0.015737
SSO,25653,20161031,68.33,-0.000293
SSO,25653,20161228,76.71,-0.016538
SSO,25653,20160916,69.19,-0.007602
SSO,25653,20161202,72.84,0.000824
SSO,25653,20161128,73.43,-0.010111
SSO,25653,20160830,71.59,-0.003619
SSO,25653,20160818,72.26,0.004448
SSO,25653,20161209,77.42,0.012026
SSO,25653,20160831,71.26,-0.00461
SSO,25653,20161219,77.63,0.004009
SSO,25653,20160825,71.33,-0.002657
SSO,25653,20161213,78.27,0.013335
SSO,25653,20160811,72.12,0.00966
SSO,25653,20170103,77.24,0.01645
SSO,25653,20161227,78,0.004507
SSO,25653,20170112,78.14,-0.004459
SSO,25653,20160808,71.73,-0.001531
SSO,25653,20160701,66.58,0.00392
SSO,25653,20160725,70.85,-0.005893
SSO,25653,20160720,71.16,0.008789
SSO,25653,20170127,79.8,-0.002001
SSO,25653,20161222,77.44,-0.003603
SSO,25653,20170206,79.68,-0.004249
